Time (hours),Current Slot,Peers Connected
1.9055808333555857,22.211,20
1.9090280555354224,22.246,20
1.9123191666603088,22.283,21
1.9155955555703905,22.316,21
1.9189305555820466,22.346,22
1.9222472222646076,22.382,22
1.9258675000402663,22.413,22
1.9289150000280804,22.431,19
1.932301111155086,22.449,19
1.9355794444349077,22.478,19
1.9389213889174992,22.495,19
1.9422422222296396,22.495,18
1.9455761111444898,22.495,19
1.9489111111561457,22.495,20
1.952288888891538,22.514,20
1.955576944483651,22.545,20
1.9591038888692855,22.578,20
1.9623813888761732,22.612,20
1.9656344444884195,22.637,19
1.9689374999867546,22.664,20
1.9723883333471086,22.703,20
1.9756269444359673,22.733,19
1.9789233333534664,22.772,19
1.9824305555555555,22.802,19
1.9856016667021645,22.84,19
1.9889302777581745,22.881,22
1.992346944477823,22.919,23
1.9955788889196184,22.962,24
1.9990402777989706,23.0,22
2.0023452777995003,23.035,23
2.005653055575159,23.077,23
2.008916388882531,23.111,23
2.012244722247124,23.15,24
2.015675833357705,23.184,26
2.018916666706403,23.221,26
2.0222583333651225,23.257,26
2.025659999979867,23.296,26
2.0292611111534966,23.328,26
2.0322755555974115,23.361,26
2.0356797222296397,23.399,27
2.0389150000280805,23.428,27
2.042273888919089,23.459,27
2.045733611120118,23.496,26
2.049020555549198,23.541,26
2.052398055593173,23.584,26
2.055580555597941,23.63,26
2.0589383333259157,23.668,25
2.0622955555386016,23.712,25
2.065673888921738,23.753,25
2.068914166688919,23.789,24
2.072362222207917,23.828,25
2.0755844444698757,23.866,24
2.0789302777581744,23.905,24
2.0823591666751438,23.949,24
2.085669722225931,23.983,24
2.0890486111243565,24.03,24
2.092343888878822,24.07,24
2.0955902777777777,24.11,24
2.099022499985165,24.155,24
2.1022508333788976,24.189,24
2.10569777780109,24.23,24
2.1091111110978655,24.258,24
2.11225444442696,24.293,23
2.1155877777602936,24.333,23
2.1189400000042387,24.371,24
2.122387222250303,24.416,24
2.1255883333418106,24.451,24
2.128943055537012,24.495,24
2.1323150000307294,24.539,25
2.13562138888571,24.579,24
2.1390133333206176,24.626,25
2.1423302777608235,24.666,25
2.1456666666931574,24.704,26
2.148952222267787,24.745,26
2.1523233333561156,24.786,27
2.1556091666883894,24.836,27
2.1592222222354676,24.865,27
2.1623041666878593,24.896,28
2.165709166659249,24.945,26
2.1689288889037237,24.989,26
2.1722977777984407,25.028,26
2.175610833366712,25.072,27
2.1789511111047535,25.116,27
2.1823713888724643,25.156,26
2.1855972222487132,25.197,26
2.188991666701105,25.241,27
2.192271666659249,25.293,27
2.195658888883061,25.344,27
2.198985555569331,25.382,27
2.2022652777698304,25.423,27
2.2056183333529367,25.468,27
2.2090122222238118,25.505,27
2.212419444455041,25.549,27
2.215623888903194,25.589,25
2.2189186111423704,25.631,25
2.222258611122767,25.669,26
2.2256088889307444,25.702,27
2.2289691666762033,25.737,28
2.232262222237057,25.77,28
2.2356663888692854,25.808,30
2.2390127778053284,25.85,30
2.242244722247124,25.884,30
2.245662777821223,25.924,31
2.248961111108462,25.962,31
2.252365833322207,26.002,31
2.2556833333439297,26.039,31
2.2590005555417805,26.073,32
2.262383055554496,26.111,32
2.2656644444333183,26.143,33
2.2689900000227823,26.178,33
2.272382500039207,26.209,32
2.2756991666555404,26.243,31
2.2790961111254164,26.272,32
2.2823547222216924,26.3,32
2.28576472222805,26.326,31
2.2889911111195884,26.356,31
2.2922697222232817,26.4,30
2.2956611111429,26.438,31
2.2990038888984254,26.47,31
2.3023994444476235,26.501,31
2.3056138888994853,26.532,29
2.309010833369361,26.568,30
2.312255000008477,26.602,30
2.3157200000021194,26.64,30
2.3190305555529065,26.675,29
2.3223525000280802,26.717,30
2.325679444471995,26.752,30
2.328916944464048,26.794,30
2.332703888879882,26.828,29
2.3356608333190283,26.862,29
2.338956388897366,26.9,28
2.3425055555502574,26.946,29
2.345592777795262,26.984,29
2.348934722211626,27.032,28
2.3522958333624735,27.077,27
2.35579777777195,27.122,27
2.3589108333322737,27.151,26
2.3622411111328336,27.174,26
2.365623888903194,27.225,27
2.368998333348168,27.272,26
2.372264444430669,27.318,26
2.3756797222296395,27.342,26
2.3789172222216926,27.359,25
2.3822402777936724,27.359,27
2.3855761111444895,27.359,27
2.3889769444863003,27.361,26
2.3922702778047986,27.399,26
2.3956730555825763,27.443,26
2.3990116667085224,27.478,27
2.4023786111010446,27.523,27
2.4056158333354527,27.564,28
2.408915833367242,27.607,27
2.412248888876703,27.654,27
2.4155811111132306,27.693,27
