,TIME,MEM,CPU,NETOUT,NETIN,DISK,Current Slot,Peers Connected
8626,4.802222222222222,1.1611796875,53.5,0.08366793099999996,0.945993432000003,0.996236432,12.542,25.0
8627,4.802777777777778,1.16255859375,54.3,0.08375882300000012,0.9460727320000005,0.983048347,12.542,25.0
8628,4.803333333333333,1.1870625,58.0,0.08381160300000011,0.9466298070000048,0.983167923,12.542,25.0
8629,4.803888888888889,1.17812890625,52.7,0.08381212100000085,0.9466377330000032,0.983167923,12.542,25.0
8630,4.804444444444444,1.17833984375,54.0,0.08382249000000047,0.9471446649999998,0.983167923,12.542,25.0
8631,4.805000000000001,1.18033984375,54.3,0.08384614200000033,0.948427346000004,0.9861351989999999,12.542,25.0
8632,4.805555555555555,1.1832109375,53.3,0.08385090499999932,0.9484385460000049,0.986497313,12.606,25.0
8633,4.806111111111111,1.18798828125,55.3,0.08386818700000004,0.9485992509999996,0.989328227,12.606,25.0
8634,4.806666666666667,1.20778515625,52.8,0.08396953700000086,0.949150155000003,0.9897688960000001,12.606,25.0
8635,4.807222222222222,1.199953125,93.0,0.0839698669999998,0.9491583530000062,0.9897688960000001,12.606,25.0
8636,4.807777777777777,1.199953125,52.2,0.08398021700000026,0.9496500150000066,0.989811158,12.606,25.0
8637,4.808333333333334,1.2146640625,54.3,0.08401357500000085,0.9509145720000015,1.009195585,12.606,25.0
8638,4.808888888888889,1.2169609375,53.5,0.08401577100000031,0.9509237400000057,1.009385872,12.606,25.0
8639,4.809722222222222,1.21892578125,55.0,0.0840381070000003,0.9509653430000035,1.019746337,12.606,26.0
8640,4.810277777777778,1.2204609375,53.0,0.08413264100000015,0.9515178020000021,1.0060483550000001,12.606,26.0
8641,4.810833333333333,1.2248515625,86.0,0.08413270700000067,0.9515243620000038,1.0060483550000001,12.606,26.0
8642,4.811388888888889,1.2040625,53.8,0.08414171600000009,0.95157647,1.00607991,12.67,26.0
8643,4.811944444444444,1.19764453125,56.5,0.08418245600000046,0.9532513950000066,0.9991306600000001,12.67,26.0
8644,4.8125,1.2001953125,52.0,0.08418375000000014,0.9532617110000065,0.9994096809999999,12.67,26.0
8645,4.813055555555556,1.20066015625,53.7,0.08420693700000083,0.9533439630000067,1.002302695,12.734000000000002,26.0
8646,4.813611111111111,1.20137109375,42.2,0.08430505599999924,0.9538420890000052,1.002717465,12.734000000000002,26.0
8647,4.814166666666667,1.2075546875,84.1,0.08430872900000032,0.9538555150000029,1.002743324,12.734000000000002,26.0
