Time (hours),Current Slot,Peers Connected
17.409525277747047,460030, 50
17.41285861108038,460030, 50
17.416191944413715,460030, 50
17.41952527774705,460288, 51
17.422858611080382,460288, 51
17.426191944413716,460288, 50
17.429525277747047,460288, 51
17.432858888838027,460288, 52
17.436191944413714,460544, 51
17.439525277747048,460544, 51
17.442858611080382,460544, 50
17.44619222217136,460544, 51
17.44952527774705,460800, 52
17.45285861108038,460800, 51
17.456191944413714,460800, 53
17.459525277747048,460800, 50
17.46285861108038,461056, 54
17.466192222171358,461056, 55
17.46952527774705,461056, 52
17.472858611080383,461056, 52
17.476191944413713,461312, 52
17.479525277747047,461312, 53
17.48285861108038,461312, 55
17.486191944413715,461312, 51
17.48952527774705,461312, 51
17.492858611080383,461568, 49
17.496191944413717,461568, 50
17.499525277747047,461568, 50
17.50285861108038,461568, 50
17.506191944413715,461568, 53
17.50952527774705,461824, 50
17.512858611080382,461824, 53
17.516191944413716,461824, 53
17.51952527774705,461824, 51
17.52285861108038,462079, 51
17.526191944413714,462079, 48
17.529525277747048,462079, 48
17.532858611080382,462079, 49
17.536191944413716,462079, 49
17.53952527774705,462336, 51
17.54286000000106,462336, 49
17.546191944413714,462336, 52
17.549525277747048,462336, 53
17.55285861108038,462592, 49
17.556191944413715,462592, 49
17.55952527774705,462592, 50
17.562858611080383,462592, 52
17.566191944413713,462592, 52
17.569525277747047,462848, 51
17.57285861108038,462848, 52
17.576191944413715,462848, 50
17.57952527774705,462848, 50
17.582858611080383,463104, 51
17.586191944413716,463104, 51
17.589525277747047,463104, 55
17.592858888838027,463104, 49
17.596191944413714,463104, 49
17.59952527774705,463360, 50
17.602858611080382,463360, 49
17.606191944413716,463360, 50
17.609525555504693,463360, 50
17.61285861108038,463615, 51
17.616191944413714,463615, 54
17.619525277747048,463615, 50
17.62285861108038,463615, 50
17.626191944413716,463872, 50
17.62952527774705,463872, 50
17.632858611080383,463872, 49
17.636191944413714,463872, 49
17.639525277747047,464128, 50
17.64285861108038,464128, 50
17.646191944413715,464128, 51
17.64952527774705,464128, 53
17.652858611080383,464128, 48
17.656191944413713,464384, 49
17.659525277747047,464384, 50
17.662858888838027,464384, 51
17.666191944413715,464384, 50
17.66952527774705,464639, 52
17.672858611080382,464639, 55
17.676191944413716,464639, 51
17.679525277747047,464639, 51
17.68285861108038,464639, 53
17.686191944413714,464896, 52
17.689525277747048,464896, 54
17.692858611080382,464896, 50
17.696191944413716,464896, 51
17.69952527774705,465152, 52
17.70285861108038,465152, 49
17.706191944413714,465152, 51
17.709525277747048,465152, 50
17.71285861108038,465152, 52
17.716191944413715,465408, 50
17.719525555504692,465408, 50
17.722858611080383,465408, 51
17.72619222217136,465408, 51
17.729525277747047,465408, 52
17.73285861108038,465664, 53
17.73619222217136,465664, 49
17.73952527774705,465664, 50
17.742858611080383,465664, 51
17.746191944413717,465919, 52
17.749525277747047,465919, 51
17.75285861108038,465919, 51
17.756191944413715,465919, 52
17.75952527774705,465919, 50
17.76335694445504,466176, 52
17.766191944413716,466176, 53
17.76952527774705,466176, 49
17.772858888838027,466176, 50
17.776191944413714,466431, 51
17.779525277747048,466431, 53
17.782858611080382,466431, 54
17.786191944413716,466431, 51
17.78952527774705,466431, 51
17.79285861108038,466688, 51
17.796191944413714,466688, 51
17.799525277747048,466688, 52
17.80285861108038,466688, 51
17.806191944413715,466944, 53
17.80952527774705,466944, 54
17.812858611080383,466944, 52
17.816191944413713,466944, 53
17.819525277747047,467200, 51
17.822858888838027,467200, 51
17.826191944413715,467200, 49
17.82952527774705,467200, 50
17.832858611080383,467200, 51
17.836191944413716,467456, 50
17.839525277747047,467456, 51
17.84285861108038,467456, 51
17.846191944413714,467456, 51
17.849525555504695,467456, 51
17.852858888838025,467712, 51
17.856191944413716,467712, 53
17.85952527774705,467712, 50
17.86285861108038,467712, 51
17.866191944413714,467968, 52
17.869525555504694,467968, 52
17.87285861108038,467968, 53
17.876191944413716,467968, 49
17.879525555504692,467968, 50
17.882858611080383,468222, 51
17.886191944413714,468222, 50
17.889525555504694,468222, 51
17.89285861108038,468222, 50
17.896191944413715,468222, 50
17.89952527774705,468480, 52
17.902858611080383,468480, 50
17.906191944413713,468480, 50
17.909525277747047,468480, 50
17.912858888838027,468736, 51
17.916191944413715,468736, 49
17.91952555550469,468736, 47
17.922858611080382,468736, 48
17.926191944413716,468736, 50
17.929525277747047,468992, 49
17.93285861108038,468992, 50
17.936191944413714,468992, 51
17.939525277747048,468992, 55
17.942858611080382,468992, 50
17.946191944413716,469248, 53
17.94952527774705,469248, 55
17.95285861108038,469248, 49
17.956191944413714,469248, 51
17.959525277747048,469504, 50
17.96285861108038,469504, 51
17.966191944413715,469504, 51
17.96952527774705,469504, 50
17.972858611080383,469504, 49
17.976191944413713,469758, 50
17.979525277747047,469758, 52
17.98285861108038,469758, 52
17.986191944413715,469758, 50
17.98952527774705,469758, 50
17.992858611080383,470016, 50
17.996191944413717,470016, 50
17.999525277747047,470016, 49
18.00285861108038,470016, 51
18.006191944413715,470272, 51
18.00952527774705,470272, 50
18.012858611080382,470272, 50
18.016191944413716,470272, 50
18.01952527774705,470272, 49
18.02285861108038,470526, 47
18.026191944413714,470526, 47
18.02952694442537,470526, 47
18.032858611080382,470526, 50
18.036191944413716,470784, 48
18.03952527774705,470784, 47
18.042858888838026,470784, 49
18.046191944413714,470784, 46
18.049525277747048,470784, 50
18.05285861108038,471040, 51
18.056191944413715,471040, 50
18.05952527774705,471040, 50
18.062858611080383,471040, 55
18.066191944413713,471040, 55
18.069525277747047,471296, 52
18.072858888838027,471296, 53
18.076191944413715,471296, 50
18.07952527774705,471296, 51
18.082858611080383,471551, 52
18.08619222217136,471551, 51
18.089525277747047,471551, 53
18.09285861108038,471551, 50
18.096191944413714,471551, 48
18.09952527774705,471808, 49
18.102858611080382,471808, 50
18.106192499929005,471808, 52
18.10952527774705,471808, 50
18.11285861108038,472064, 52
18.116191944413714,472064, 49
18.119525277747048,472064, 50
